abspath.c path 	adlist.c list 
abbrev show parents 	files lua 
show children 	header binary 
show decorations graph 	files official 
commit finished 	format size 
putchar graph show 	header binary 
remainder putchar 	files 
graph show padding 	lvm.c obj 
putchar graph 	num obj 
show commit log 	mask oldpc 
write email 	npc newline 
headers fputs diff 	res result 
color opt 	key 
fputs put 	val loop 
revision mark fputs 	res key 
find unique 	val loop 
abbrev show parents 	temp oldval 
show children 	res temp 
find unique abbrev 	len 
fputs diff 	res res 
color opt show 	total last 
decorations putchar 	top buffer 
putchar graph show 	tempb tempc 
oneline show 	nexeccalls res 
reflog message show 	nresults 
signature show 	aux func 
mergetag cached commit 	pfunc step 
buffer format 	idx limit 
display notes log 	init plimit 
output encoding 	pstep last 
strbuf detach xcalloc 	val 
non ascii 	ncl nup 
fmt name 	ttisnumber ttisstring 
getenv getenv log 	lua str 
output encoding 	svalue setnvalue 
pretty print commit 	ttisnumber nvalue 
append signoff 	lua 
strbuf addstr strbuf 	number str 
addstr graph 	setsvalue lua 
show oneline graph 	resethookcount lua 
show commit 	callhook func 
msg fwrite commit 	rel getline 
format empty 	getline 
graph show padding 	rel lua 
putchar strbuf 	callhook savestack 
release free diffcore 	setobj setobj 
std diff 	setobj lua 
queue empty diff 	checkstack lua 
flush show 	call 
log commit format 	restorestack setobjs 
empty output 	setobj setobj 
prefix fwrite 	setobj setobj 
putchar diff flush 	lua checkstack 
diff combined 	lua call 
merge diff opt 	ttistable 
tst parse 	hvalue lua 
commit die saved 	ttisnil fasttm 
parents diff 	setobj ttisnil 
root sha log 	lua gettmbyobj 
diff flush 	lua typeerror 
diff combined parse 	ttisfunction 
commit die 	call mres 
diff sha log 	lua runerror 
diff flush 	ttistable hvalue 
parse commit die 	lua ttisnil 
diff sha 	fasttm setobj 
log diff flush 	lua 
line log 	barriert ttisnil 
print log 	lua gettmbyobj 
diff show log 	lua typeerror 
maybe flush 	ttisfunction call 
die local remote 	setobj lua 
tag stash 	runerror 
head grafted comparing 	lua gettmbyobj 
ignore config 	ttisnil lua 
sets tolower match 	gettmbyobj ttisnil 
letters values 	call mres 
documented documentation config 	fasttm fasttm 
txt consistency 	lua 
love consistent log 	rawequal obj 
uses diff 	lua gettmbyobj 
opt tst determining 	ttisnil lua 
whether use 	gettmbyobj lua 
color showing commit 	rawequal obj 
sha use 	call 
check decorate head 	mres isfalse 
output also 	getstr getstr 
branch points 	strcoll strlen 
find decoration entry 	ttype ttype 
current branch 	lua ordererror 
first find head 	ttisnumber 
resolve find 	luai numlt 
matching current branch 	nvalue nvalue 
list caller 	ttisstring strcmp 
makes sure funny 	rawtsvalue rawtsvalue 
color calling 	call order 
format decorations extended 	lua 
makes sure 	ordererror ttype 
current head show 	ttype lua 
head current 	ordererror ttisnumber 
head would appeared 	luai numle 
skipping entry 	nvalue nvalue 
current unknown never 	ttisstring 
error message 	strcmp rawtsvalue 
already given could 	rawtsvalue call 
good signature 	order call 
good otherwise 	order lua 
couldn verify shown 	ordererror lua 
bad use 	ttype 
terminator already handled 	ttype ttype 
record termination 	luai numeq 
end last record 	nvalue nvalue 
otherwise diffopt 	bvalue bvalue 
line termination character 	pvalue pvalue 
entries first 	uvalue 
iow separator entries 	uvalue comp 
entries separated 	uvalue uvalue 
newline output look 	hvalue hvalue 
human readable 	comp hvalue 
last entry ended 	hvalue gcvalue 
newline print 	gcvalue 
graph output newline 	call mres 
otherwise end 	isfalse ttisstring 
completely blank line 	ttisnumber tostring 
look like 	call bin 
gap graph 	lua concaterror 
entry separator newline 	tsvalue 
output primarily 	tostring tsvalue 
intended programmatic consumption 	tostring tsvalue 
never want 	lua runerror 
extra graph output 	lua openspace 
entry separator 	tsvalue memcpy 
history graph requested 	svalue 
print graph 	setsvalue lua 
commit line print 	newlstr lua 
header line 	tonumber lua 
header setup revisions 	tonumber nvalue 
ensures opt 	setnvalue luai 
reflog info opt 	numadd 
graph cannot 	setnvalue luai 
need worry printing 	numsub setnvalue 
graph info 	luai nummul 
pretty printed message 	setnvalue luai 
opt missing 	numdiv setnvalue 
newline msgbuf 	luai 
doesn end newline 	nummod setnvalue 
including empty 	luai numpow 
showing verbose header 	setnvalue luai 
log message 	numunm lua 
pretty oneline format 	call bin 
would want 	lua 
extra newline end 	aritherror lua 
log diff 	lua clvalue 
diffstat output readability 	traceexec lua 
may shown 	lua lua 
three dashes line 	lua checkopenop 
early notes 	opcode 
log message want 	setobjs setobj 
blank line 	setbvalue getarg 
notes without extra 	getarg setnilvalue 
three dashes 	getarg setobj 
line otherwise 	sethvalue lua 
show three dashes 	ttisstring 
line showing 	protect lua 
patch diffstat extra 	gettable protect 
blank line 	lua gettable 
three dashes line 	rkc sethvalue 
show diff 	lua ttisstring 
commit printed log 	protect 
info messages 	lua settable 
root commit one 	getarg setobj 
parent generate 	lua barrier 
merge log entry 	protect lua 
first parent 	settable rkb 
showing summary diff 	rkc 
others merged 	getarg getarg 
show individual diffs 	sethvalue lua 
show parent 	lua lua 
info log info 	protect lua 
next parent 	check setobjs 
log-tree.h commit 	protect 
parent slot name 	lua gettable 
rev info 	rkc arith 
rev info rev 	arith arith 
info commit 	arith arith 
rev info opt 	arith ttisnumber 
commit use 	nvalue 
color prefix separator 	setnvalue luai 
suffix opt 	numunm protect 
commit opt commit 	arith isfalse 
subject extra 	setbvalue ttype 
headers need bit 	setnvalue cast 
cte flags 	num 
strbuf commit rev 	lua getn 
info strbuf 	hvalue setnvalue 
subject rev info 	cast num 
log.c date 	tsvalue getarg 
mode abbrev commit 	getarg setobjs 
show root 	dojump 
follow decoration 	getarg rkb 
style decoration given 	rkc isfalse 
use mailmap 	getarg dojump 
config fmt patch 	getarg isfalse 
subject prefix 	getarg setobjs 
fmt pretty builtin 	dojump 
log usage 	getarg getarg 
rev prefix args 	getarg lua 
opt arg 	precall getarg 
unset option arg 	lua getarg 
unset data 	lua precall 
rev argc argv 	lua 
prefix rev 	close setobjs 
opt mailmap line 	lua clvalue 
builtin log 	getarg lua 
options argc argv 	close lua 
prefix rev 	poscall lua 
opt rev list 	lua 
commit flags 	lua opcode 
rev stage 	nvalue luai 
early output timer 	numadd nvalue 
revs list 	nvalue luai 
show header commit 	numlt luai 
signal rev 	numle 
rev rev commit 	luai numle 
saved nrl 	dojump getarg 
saved dcctc slot 	setnvalue setnvalue 
name argc 	tonumber lua 
argv prefix rev 	runerror lua 
opt buf 	tonumber 
len rev sha 	lua runerror 
rev obj 	lua tonumber 
name sha obj 	lua runerror 
context buf 	lua setnvalue 
size sha rev 	luai numsub 
size buf 	nvalue 
offset offset 	nvalue dojump 
sha pathname mode 	getarg setobjs 
stage context 	setobjs setobjs 
rev opt argc 	protect lua 
argv prefix 	call getarg 
rev objects opt 	ttisnil 
match count 	setobjs dojump 
ret name argc 	getarg getarg 
argv prefix 	getarg cast 
rev opt rev 	cast runtime 
opt argc 	check ttistable 
argv prefix rev 	hvalue 
opt fmt 	lua resizearray 
patch suffix numbered 	setobj lua 
number attach 	setnum lua 
extra hdr extra 	barriert lua 
extra item 	close getarg 
len signoff signature 	lua 
signature file 	lclosure opcode 
config cover 	getarg lua 
letter config output 	opcode lua 
directory realstdout 	findupval getarg 
output directory outdir 	setclvalue protect 
offset commit 	lua 
subject rev quiet 	check getarg 
filename suffix 	cast protect 
len rev ids 	lua checkstack 
check rev 	setobjs setnilvalue 
commit flags flags 	lvm roberto 
info buf 	exp 
buf branch name 	lua machine 
desc rev 	see copyright 
positive branch oid 	notice lua 
tip oid 	limit table 
full branch rev 	tag method 
use stdout 	chains 
origin list branch 	avoid loops 
name quiet 	call linehook 
committer body 	enter function 
msg log encoding 	jump back 
opts need 	loop enter 
bit cte head 	line 
buf msg 	push function 
prefix output directory 	argument argument 
builtin format 	push function 
patch usage keep 	argument argument 
subject opt 	argument table 
arg unset subject 	primitive 
prefix opt 	result nil 
arg unset numbered 	tag method 
cmdline opt 	repeat table 
opt arg unset 	primitive result 
opt arg 	nil tag 
unset opt arg 	method 
unset dir 	repeat avoid 
opt arg unset 	pointing inside 
opt arg 	table may 
unset rev 	rehash first 
opt arg unset 	operand second 
rev opt 	operand 
arg unset opt 	metamethod metatables 
arg unset 	metamethods metamethod 
opt arg unset 	metamethods metamethod 
opt arg 	different metamethods 
unset argc argv 	equal index 
prefix commit 	first 
list rev opt 	finished finished 
total use 	smaller finished 
stdout start number 	longer len 
numbers ignore 	comparing first 
upstream cover letter 	must call 
boundary count 	number 
binary diff zero 	elements handled 
commit origin 	pass least 
reply ids 	second empty 
buf use patch 	result first 
format quiet 	least two 
reroll count branch 	values 
name builtin 	many possible 
format patch options 	collect total 
sprefix check 	length concat 
head sha buf 	got create 
msgid shown 	repeat result 
arg revs flags 	left 
sha commit 	macros common 
cherry usage sign 	tasks lua 
commit verbose 	execute used 
abbrev buf argc 	possible stack 
argv prefix 	reallocation 
revs ids commit 	entry point 
list current 	main loop 
branch upstream head 	interpreter hook 
limit abbrev 	warning several 
options sign 	calls may 
git config maybe 	realloc 
strcmp strcmp 	stack invalidate 
strcmp isatty pager 	skip next 
use parse 	instruction next 
decoration style die 	assignment may 
list append 	change metamethod 
commit format diff 	previous 
opt diff 	instruction top 
opt diff opt 	restart lua 
parse date 	execute lua 
format parse options 	function function 
setup revisions 	precall called 
die memset userformat 	adjust 
find requirements 	results previous 
init display notes 	instruction top 
diff opt 	tail call 
tst xcalloc read 	put frame 
mailmap load 	place previous 
decorations line 	one 
log init setup 	previous frame 
pager cmd 	previous function 
log init defaults 	index move 
cmd log 	frame correct 
init finish putchar 	top one 
sort topological 	call 
order simplify commit 	lost frame 
estimate commit 	function precall 
count show early 	called previous 
header log 	function running 
commit setitimer memset 	yes execution 
sigemptyset sigaction 	increment 
setitimer estimate commit 	index jump 
count signal 	back update 
show early header 	index external 
setup early 	index next 
output prepare revision 	steps may 
walk die 	errors 
finish early 	call func 
output revision log 	args state 
commit free 	index previous 
commit buffer free 	call may 
commit list 	change stack 
diff opt tst 	loop 
diff result 	save control 
code strcmp git 	variable jump 
config strcmp 	back needs 
git config strcmp 	space pre 
git config 	alloc previous 
strcmp git config 	call 
strcmp parse 	may change 
decoration style strcmp 	stack lvm.h 
git config 	obj obj 
strcmp git config 	key val 
skip prefix 	key val 
parse decorate color 	nexeccalls 
config strcmp 	total last 
git config 	lvm roberto 
