abspath.c path 	AboutActivity.java saved 
message see remote 	view android 
matches name 	widget 
name number count 	progress bar 
number name 	android widget 
name barf values 	relative 
future versions 	layout amap 
git check many 	api 
files differ 	location map 
check many unmerged 	location amap 
entries pretend 	api 
user told merge 	location map 
remote tracking 	location client 
branch upstream 	amap 
current branch msg 	api location 
without edit 	map location 
use editor stdin 	client 
stdout tty 	option amap 
current head reachable 	api location 
another commit 	map 
merged want record 	location listener 
parent resulting 	bumptech 
merge unless given 	glide glide 
flip variable 	bumptech glide 
find head among 	load 
independent tips 	engine disk 
merged find parents 	cache strategy 
record checking 	xiecc 
independent ones bad 	see weather 
merge check 	xiecc see 
detached head current 	weather 
branch invoke 	activity xiecc 
git reset 	see weather 
merge unmerged entry 	common 
advise git 	check version 
file git commit 	xiecc 
merged head 	see weather 
valid one reason 	common log 
forbid git 	xiecc 
merge branch yet 	see weather 
born git 	common xiecc 
pull could traditional 	see 
merge msg 	weather component 
head commit way 	retrofit singleton 
tell see 	xiecc 
second token head 	see weather 
people might 	modules adatper 
misused used commit 	weather 
ish head 	adapter xiecc 
instead traditional format 	see 
never would 	weather modules 
additional safety 	domain setting 
measure check invoked 	xiecc 
directly first 	see weather 
rest commits merged 	modules domain 
prepare standard 	weather 
merge summary message 	xiecc see 
appended given 	weather modules 
message already date 	domain 
already date 	weather api 
common ancestors found 	xiecc see 
need real 	weather 
merge head reach 	modules listener 
merge date 	hiding 
first common merging 	scroll listener 
one remote 	xiecc see 
common merging one 	weather 
remote octopus 	modules activity 
fast forward need 	xiecc see 
real merge 	weather 
octopus fast 	modules setting 
forward one common 	setting activity 
see really 	calendar 
trivial octopus reach 	observable observer 
remote date 	android schedulers 
calculate individual merge 	android 
bases otherwise 	schedulers functions 
git merge head 	action 
head would 	functions func 
missed going make 	schedulers schedulers 
commit point 	android 
need real merge 	annotation suppress 
matter strategy 	lint android 
use would operate 	content 
index possibly 	dialog android 
affecting working resolved 	content intent 
cleanly desired 	android 
index means 	net uri 
index must sync 	android build 
head commit 	android 
strategies responsible ensure 	bundle android 
stash away 	handler 
local changes one 	android message 
remember strategy 	android support 
left state working 	design 
necessary avoid 	widget collapsing 
writing later exit 	toolbar layout 
status code 	android 
merge backend exits 	support design 
conflicts left 	widget coordinator 
resolved handle given 	layout 
merge automerge 	android support 
succeeded resulting means 	design widget 
strategy module 	floating 
resolved merge cleanly 	action button 
pick result 	android 
best strategy 	support design 
user fix already 	widget navigation 
result working 	view 
mergesort.c ptr len 	android support 
list next 	design widget 
next list next 	snackbar 
next compare 	android support 
curr prev next 	content context 
next nth 	compat 
next compare pop 	android support 
item pop 	view gravity 
item pop item 	compat 
pop item 	android support 
compare pop item 	widget 
pop item 	drawer layout 
next nth next 	android support 
next mergesort.h 	widget 
list next next 	swipe refresh 
compare sort 	layout android 
linked list 	support 
place next returns 	app action 
next element 	bar drawer 
given element linked 	toggle 
list next 	android support 
takes two elements 	app alert 
makes next 	dialog 
element list compare 	android support 
takes two 	widget 
elements returns negative 	linear layout 
positive sign 	manager android 
subtracting mingw.c delay 	support 
winerr error 	widget recycler 
errcode answer answer 	view android 
len format 	support 
question retry hook 	widget toolbar 
args answer 	android log 
pathname ret tries 	android 
wpathname wpath 	view menu 
findbuf handle 	item 
wbuf err pathname 	android view 
ret tries 	view android 
wpathname path mode 	view 
ret wpath 	animation accelerate 
filename oflags args 	interpolator android 
mode wfilename 	view 
attrs type stream 	animation decelerate 
filename otype 	interpolator android 
file wfilename wotype 	widget 
filename otype 	image view 
stream file wfilename 	android widget 
wotype stream 	progress 
ret buf len 	bar android 
result filename 	widget 
mode wfilename dirname 	relative layout 
wdirname filename 	amap api 
mode wfilename win 	location 
time wfilename 	map location 
attributes follow 	amap api 
file name buf 	location 
fdata wfilename 	map location 
findbuf handle buffer 	client amap 
follow file 	api 
name buf namelen 	location map 
alt name 	location client 
file name buf 	option 
file name 	amap api 
buf buf fdata 	location 
win time 	map location 
file name times 	listener bumptech 
mft aft 	glide 
attrs wfilename seconds 	glide bumptech 
wtemplate filename 	glide load 
hnsec filedes timep 	engine 
result timep 	disk cache 
result pointer 	strategy xiecc 
len wpointer arg 	see 
force quotes 	weather xiecc 
count count cmd 	see weather 
buf opt 	activity 
path envpath dir 	xiecc see 
path dir 	weather 
cmd isexe exe 	common check 
path cmd 	version xiecc 
path exe prog 	see 
len isexe 	weather common 
env name size 	log xiecc 
free old 	see 
environ size environ 	weather common 
alloc deltaenv 	xiecc see 
wenvblk tmpenv wenvpos 	weather 
next pid 	component retrofit 
proc pinfo pinfo 	singleton xiecc 
cmd argv 	see 
deltaenv dir 	weather modules 
prepend cmd fhin 	adatper 
fhout fherr 	weather adapter 
args wcmd wdir 	xiecc see 
wargs wenvblk 	weather 
flags ret cons 	modules domain 
quoted quoted 	setting xiecc 
info cmd argv 	see 
prepend cmd 	weather modules 
cmd argv deltaenv 	domain weather 
dir fhin 	xiecc 
fhout fherr pid 	see weather 
path prog 	modules domain 
interpr argv iprog 	weather 
cmd argv 	api xiecc 
interpr path prog 	see 
pid argc 	weather modules 
argv status cmd 	listener hiding 
argv pid 	scroll 
status cmd 	listener xiecc 
argv path prog 	see weather 
pid sig 	modules 
env name size 	activity xiecc 
high mid 	see weather 
cmp env name 	modules 
size free 	setting setting 
old name pos 	activity calendar 
namevalue node 	observable 
service hints res 	observer android 
sin res 	schedulers 
salen host hostlen 	android schedulers 
serv servlen 	functions action 
flags sin ent 	functions 
ent ipv 	func schedulers 
dll res node 	schedulers android 
service hints 	annotation 
res salen host 	suppress lint 
hostlen serv 	android content 
servlen flags 	dialog 
wsa initialized libraries 	android content 
name name 	intent android 
namelen host res 	net 
node service 	uri android 
hints res salen 	build 
host hostlen 	android bundle 
serv servlen flags 	android handler 
domain type 	android 
protocol sockfd sockfd 	message android 
sockfd sockfd 	support design 
lvl optname optval 	widget 
optlen sockfd 	collapsing toolbar 
sockfd backlog sockfd 	layout android 
sockfd err 	support 
pold pnew attrs 	design widget 
gle tries 	coordinator layout 
wpold wpnew 	android 
attrsold uid user 	support design 
name len 	widget 
timer timer timer 	floating action 
interval one 	button android 
shot sigint dummy 	support 
type zero 	design widget 
atexit done sig 	navigation view 
sig handler 	android 
old sig path 	support design 
buf unixpath 	widget snackbar 
htmlpath shell execute 	android 
shell oldpath 	support content 
newpath create hard 	context compat 
link woldpath 	android 
wnewpath pid status 	support view 
options ppinfo 	gravity 
info path ret 	compat android 
path pos 	support widget 
wcs utfs 	drawer 
wcslen utflen wpos 	layout android 
utf hex 	support widget 
utf wcs utflen 	swipe 
tmp crt 	refresh layout 
glob argc argv 	android support 
env glob 	app 
size result buffer 	action bar 
wcs len 	drawer toggle 
maxlen argc buffer 	android 
wenv wargv 	support app 
buf fgets strlen 	alert 
getchar tolower 	dialog android 
strncasecmp tolower strncasecmp 	support widget 
start vsnprintf 	linear 
end mingw getenv 	layout manager 
run command 	android support 
opt isatty fileno 	widget 
isatty fileno 	recycler view 
read yes 	android support 
answer xutftowcs path 	widget 
wchmod wunlink 	toolbar android 
size file use 	log android 
error last 	view 
error sleep file 	menu item 
use error 	android 
last error ask 	view view 
yes possible 	android view 
wunlink wcscpy wcscat 	animation 
find first 	accelerate interpolator 
file last error 	android view 
wcscmp wcscmp 	animation 
find next file 	decelerate interpolator 
last error 	android widget 
find close find 	image 
close xutftowcs 	view android 
path wrmdir size 	widget progress 
file use 	bar 
error last 	android widget 
error err win 	relative 
posix last 	layout amap 
error dir empty 	api location 
sleep file 	map 
use error last 	location amap 
error ask 	api location 
yes possible wrmdir 	map 
xutftowcs path 	location client 
wmkdir start arg 	amap api 
end strcmp 	location 
xutftowcs path wopen 	map location 
file attributes 	client option 
isatty fileno fgetc 	amap 
console ctrl 	api location 
handler fgetc last 	map 
error mingw 	location listener 
console ctrl 	bumptech glide 
handler strcmp xutftowcs 	glide 
path xutftowcs 	bumptech glide 
size wfopen strcmp 	load engine 
xutftowcs path 	disk 
xutftowcs size wfreopen 	cache strategy 
fflush write 	xiecc see 
osfhandle file type 	weather 
xutftowcs path 	xiecc see 
waccess xutftowcs path 	weather activity 
wchdir xutftowcs 	xiecc 
path wchmod time 	see weather 
filetime hnsec 	common 
wcslen dir sep 	check version 
file attributes 	xiecc see 
last error xutftowcs 	weather 
path file 	common log 
attributes file attr 	xiecc see 
mode filetime 	weather 
time filetime 	common xiecc 
time filetime time 	see weather 
find first 	component 
file readlink find 	retrofit singleton 
close last 	xiecc see 
error valid directory 	weather 
prefix lstat 	modules adatper 
strlen memcpy lstat 	weather 
stat stat 	adapter xiecc 
osfhandle file type 	see weather 
fstati file 	modules 
information handle file 	domain setting 
attr mode 	xiecc see 
filetime time filetime 	weather 
time filetime 	modules domain 
