adlist.c list 	abspath.c path 
conditions following 	sha write file 
disclaimer documentation 	blob files 
materials provided 	within git notes 
distribution neither 	merge worktree 
name 	git notes merge 
redis names 	worktree directory 
contributors may 	since might current 
used endorse 	working directory 
promote products 	user notes-merge.h local 
derived software 	remote commit 
without 	msg verbosity local 
specific prior 	result sha 
written permission 	commit result 
software provided 	sha merge notes 
copyright holders 	remote local 
contributors express 	given notes local 
implied 	must notes 
warranties including 	referenced local notes 
limited implied 	level merge 
warranties merchantability 	performed commits given 
fitness particular 	two refs 
purpose disclaimed 	merged producing one 
shall 	following outcomes 
copyright owner 	merge trivially results 
contributors liable 	existing commit 
direct indirect 	fast forward already 
incidental special 	date local 
exemplary consequential 	untouched sha result 
damages 	written result 
including limited 	sha returned merge 
procurement substitute 	successfully completes 
goods services 	producing merge 
loss use 	commit local contains 
data profits 	updated notes 
business 	sha resulting commit 
interruption however 	written result 
caused theory 	sha returned merge 
liability whether 	results conflicts 
contract strict 	similar merge result 
liability tort 	merge result 
including 	minus unmerged entries 
negligence otherwise 	stored local 
arising way 	sha resulting commit 
use software 	amended conflicts 
even advised 	resolved written result 
possibility damage 	sha unmerged 
increase 	entries written git 
length also 	notes merge 
consume stop 	worktree directory 
loop finish 	conflict markers returned 
redis-check-rdb.c level 	local remote 
positions errors 	must given non 
types 	either although 
target num 	may refer non 
peek buf 	existing notes 
dump version 	notes interpreted empty 
offset type 	notes merge 
offset timelen 	trivially results points 
isencoded 	finalize conflict 
buf len 	resolution earlier notes 
type enctype 	merge given 
offset enc 	notes must notes 
val buf 	corresponding given 
slen clen 	commit result commit 
offset 	created previous 
isencoded len 	call notes merge 
buf store 	function resolved 
offset key 	notes git 
buf len 	notes merge worktree 
val store 	create notes 
offset 	merge commit sha 
val offset 	stored result 
key length 	sha abort conflict 
length offset 	resolution earlier 
indent width 	notes merge removes 
body head 	notes merge 
tail 	worktree git notes 
ops bytes 	merge worktree 
body bytes 	notes-utils.c parents msg 
offset body 	msg len 
body tmp 	result sha sha 
num valid 	parent sha 
bytes 	parent msg buf 
entry dump 	commit sha 
version offset 	parse notes merge 
crc crc 	strategy cmd 
rdbfilename size 	rewrite mode 
stat data 	env rewrite refs 
argv 	env obj 
argc memcpy 	obj ret msg 
read bytes 	write notes 
error memcmp 	die read lookup 
error strtol 	commit parse 
error read 	commit die commit 
bytes 	list insert 
rdb check 	commit die die 
type shift 	strbuf addstr 
error shift 	strbuf complete line 
error read 	create notes 
bytes rdb 	commit strbuf insert 
check 	update strbuf 
type read 	release strcasecmp strcasecmp 
bytes shift 	strcasecmp strcasecmp 
error read 	starts strcmp git 
bytes read 	config strcmp 
bytes read 	config error 
bytes 	nonbool parse combine 
ntohl read 	notes error 
bytes read 	strcmp starts list 
bytes read 	refs glob 
bytes shift 	warning xmalloc getenv 
error zmalloc 	getenv xcalloc 
sprintf 	parse combine notes 
load length 	error list 
load length 	refs colon sep 
zmalloc read 	git config 
bytes zfree 	list clear free 
zmalloc lzf 	free load 
decompress 	notes trees list 
zfree zfree 	clear free 
zfree load 	copy note commit 
length load 	notes free 
integer load 	notes free 
lzf shift 	free deduce parent 
error 	commit points 
zmalloc read 	nothing root orphan 
bytes zfree 	commit commit 
load shift 	unchanged prepare commit 
error zfree 	message reflog 
zfree read 	message commit message 
bytes 	starts index 
zmalloc read 	note refs prefix 
bytes zfree 	implied underlying 
sscanf load 	glob translators first 
shift error 	name environment 
zfree zfree 	variable second notes-utils.h 
process 	parents msg 
shift error 	msg len result 
load length 	sha msg 
shift error 	trees cmd enabled 
process shift 	combine refs 
error process 	refs env 
shift 	mode env parse 
error process 	notes merge 
shift error 	strategy cmd obj 
process shift 	obj msg 
error process 	create notes commit 
shift error 	given notes 
process 	properties created commit 
shift error 	result converting 
shift error 	write notes parents 
load type 	given parents 
load length 	commit referenced author 
shift error 	committer determined 
shift 	commit commit message 
error shift 	msg resulting 
error process 	commit sha stored 
time load 	result sha 
type load 	notes.c key sha 
pair shift 	val sha 
error 	next path 
peek type 	mode sha notes 
shift error 	display notes 
shift error 	refs display notes 
memset memset 	trees subtree 
memset memset 	node key sha 
strlen 	key sha 
server log 	parent index entry 
sprintf print 	parent stack 
centered sprintf 	entry type combine 
print centered 	notes node 
sprintf sprintf 	ret hex hex 
sprintf 	len sha 
strncpy strlen 	sha len len 
memset strlen 	val path 
sprintf print 	mode sha subtree 
centered server 	node sha 
log process 	prefix len buf 
header 	desc entry 
server log 	len path 
exit load 	len type non 
entry print 	note path 
valid print 	fanout sha fanout 
error stack 	path hex 
load 	sha fanout flags 
entry print 	data ret 
skipped zfree 	path path len 
print valid 	next buf 
shift error 	path tws full 
print error 	path buf 
stack 	mode path path 
crc shift 	len sha 
error server 	tws path tws 
log server 	ret tws 
log open 	path mode sha 
error fstat 	path len 
error 	ret root next 
error mmap 	non note 
error sprintf 	note path 
sprintf sprintf 	ret sha note 
sprintf sprintf 	sha note 
sprintf sprintf 	path data note 
sprintf 	path len 
process munmap 	mode next sha 
close exit 	sha note 
server log 	sha note path 
exit redis 	data cur 
check rdb 	sha sha buf 
copyright 	cur len 
pieter noordhuis 	len buf len 
pcnoordhuis gmail 	ret cur 
dot copyright 	sha sha cur 
salvatore sanfilippo 	sha sha 
antirez gmail 	list sha data 
dot 	len item 
rights reserved 	data buf 
redistribution use 	cur sha sha 
source binary 	sort uniq 
forms without 	list buf ret 
modification permitted 	refname oid 
provided 	flag refs list 
following conditions 	glob sha 
met redistributions 	list globs split 
source code 	globs copy 
must retain 	load refs notes 
copyright notice 	notes combine 
list 	notes flags sha 
conditions following 	sha mode 
disclaimer redistributions 	root refs flags 
binary form 	item counter 
must reproduce 	trees opt display 
copyright notice 	env load 
list 	config refs item 
conditions following 	sha note 
disclaimer documentation 	sha combine 
materials provided 	notes sha sha 
distribution neither 	found flags 
name redis 	data result root 
names 	data ret 
contributors may 	flags sha output 
used endorse 	encoding raw 
promote products 	utf sha msg 
derived software 	msg linelen 
without 	msglen reencoded sha 
specific prior 	output encoding 
written permission 	raw obj obj 
software provided 	force combine 
copyright holders 	notes note existing 
contributors express 	note ptr 
implied 	type clr ptr 
warranties including 	type subtree 
limited implied 	sha prefixcmp load 
warranties merchantability 	subtree free 
fitness particular 	note search 
purpose disclaimed 	nibble ptr type 
shall 	clr ptr 
copyright owner 	type note search 
contributors liable 	clr ptr 
direct indirect 	type subtree sha 
incidental special 	prefixcmp load 
exemplary consequential 	subtree free note 
damages 	search note 
including limited 	search ptr type 
procurement substitute 	clr ptr 
goods services 	type hashcmp clr 
loss use 	ptr type 
data profits 	ptr type free 
business 	note search 
interruption however 	ptr type ptr 
caused theory 	type clr 
liability whether 	ptr type hashcmp 
contract strict 	hashcpy free 
liability tort 	ptr type 
including 	nibble clr ptr 
negligence otherwise 	type note 
arising way 	consolidate nibble note 
use software 	search ptr 
even advised 	type clr ptr 
possibility damage 	type ptr 
data 	type sha free 
type hold 	ptr type 
offset file 	hashcmp hashcmp combine 
size hold 	notes sha 
stack errors 	note free subtree 
data type 	sha prefixcmp 
hold 	load subtree free 
opcode optional 	subtree sha 
key name 	prefixcmp load subtree 
success status 	free note 
store types 	insert ptr 
output valid 	type ptr type 
type 	sha free 
type added 	xcalloc note insert 
update following 	ptr type 
condition necessary 	ptr type note 
number bytes 	insert ptr 
read negative 	type note free 
peek 	clr ptr 
expect first 	type free clr 
bytes equal 	ptr type 
redis needs 	hexval hexval strcmp 
qualify type 	xmalloc hashcpy 
failure discard 	non note cmp 
time 	non note 
consume bytes 	cmp non note 
failure read 	cmp non 
bit len 	note cmp strcmp 
read bit 	hashcpy free 
len encoding 	fill descriptor 
type 	die sha hex 
read bit 	memcpy entry 
len read 	strlen sha hex 
bit len 	segment xcalloc 
convert val 	hashcpy hashcpy isdir 
returns processable 	note insert 
valid 	die sha hex 
unknown encoding 	sha hex 
read key 	strbuf addch strbuf 
first done 	addch strbuf 
success reset 	addch strbuf addstr 
error container 	non note 
optionally 	strbuf detach free 
consume expire 	ptr type 
entries followed 	sha hex xsnprintf 
valid type 	determine fanout 
entry selectdb 	ptr type note 
expire eof 	helper clr 
display 	ptr type 
truncation last 	clr ptr type 
chars display 	construct path 
unprintable characters 	fanout load subtree 
display error 	free clr 
stack exclude 	ptr type construct 
checksum 	path fanout 
rdb end 	strbuf addf strbuf 
search next 	xmalloc strbuf 
valid entry 	init write stack 
find consecutive 	finish subtree 
valid entries 	write sha file 
check 	strbuf release 
found consecutive 	free write entry 
valid entries 	strlen matches 
print many 	write stack write 
bytes skipped 	stack finish 
find valid 	subtree write stack 
opcode 	init subtree 
advance position 	memchr write 
another potential 	entry strcmp write 
error print 	note helper 
many valid 	strlen write non 
ops processed 	note write 
expect 	note helper sha 
eof last 	file xmalloc 
eof error 	sha read sha 
eof error 	file free 
reset type 	sha read sha 
verify checksum 	file free 
print 	free hashcpy xmalloc 
summary errors 	memcpy memcpy 
initialize vars 	free free write 
types types 	sha file 
used dumping 	free hashcpy sha 
disk rdb 	read sha 
check 	file free 
main called 	list split free 
form redis 	strbuf addstr 
redis executed 	strbuf addch list 
redis check 	note lines 
rdb redis-cli.c 	list note lines 
spectrum 	list empty 
palette color 	items list sort 
size spectrum 	list duplicates 
palette color 	list write sha 
