AboutActivity.java saved 	abspath.c path 
design widget 	list clear free 
floating action 	free load 
button 	notes trees list 
android support 	clear free 
design 	copy note commit 
widget navigation 	notes free 
view android 	notes free 
support 	free deduce parent 
design widget 	commit points 
snackbar android 	nothing root orphan 
support 	commit commit 
content context 	unchanged prepare commit 
compat android 	message reflog 
support 	message commit message 
view gravity 	starts index 
compat android 	note refs prefix 
support 	implied underlying 
widget drawer 	glob translators first 
layout 	name environment 
android support 	variable second notes-utils.h 
widget swipe 	parents msg 
refresh 	msg len result 
layout android 	sha msg 
support app 	trees cmd enabled 
action 	combine refs 
bar drawer 	refs env 
toggle android 	mode env parse 
support 	notes merge 
app alert 	strategy cmd obj 
dialog android 	obj msg 
support 	create notes commit 
widget linear 	given notes 
layout 	properties created commit 
manager android 	result converting 
support widget 	write notes parents 
recycler 	given parents 
view android 	commit referenced author 
support widget 	committer determined 
toolbar 	commit commit message 
android log 	msg resulting 
android view 	commit sha stored 
menu 	result sha 
item android 	notes.c key sha 
view view 	val sha 
android 	next path 
view animation 	mode sha notes 
accelerate 	display notes 
interpolator android 	refs display notes 
view animation 	trees subtree 
decelerate 	node key sha 
interpolator android 	key sha 
widget image 	parent index entry 
view 	parent stack 
android widget 	entry type combine 
progress bar 	notes node 
android 	ret hex hex 
widget relative 	len sha 
layout amap 	sha len len 
api 	val path 
location map 	mode sha subtree 
location 	node sha 
amap api 	prefix len buf 
location map 	desc entry 
location 	len path 
client amap 	len type non 
api location 	note path 
map 	fanout sha fanout 
location client 	path hex 
option amap 	sha fanout flags 
api 	data ret 
location map 	path path len 
location listener 	next buf 
bumptech 	path tws full 
glide glide 	path buf 
bumptech 	mode path path 
glide load 	len sha 
engine disk 	tws path tws 
cache 	ret tws 
strategy xiecc 	path mode sha 
see weather 	path len 
xiecc 	ret root next 
see weather 	non note 
activity xiecc 	note path 
see 	ret sha note 
weather common 	sha note 
check 	path data note 
version xiecc 	path len 
see weather 	mode next sha 
common 	sha note 
log xiecc 	sha note path 
see weather 	data cur 
common 	sha sha buf 
xiecc see 	cur len 
weather component 	len buf len 
retrofit 	ret cur 
singleton xiecc 	sha sha cur 
see weather 	sha sha 
modules 	list sha data 
adatper weather 	len item 
adapter 	data buf 
xiecc see 	cur sha sha 
weather modules 	sort uniq 
domain 	list buf ret 
setting xiecc 	refname oid 
see weather 	flag refs list 
modules 	glob sha 
domain weather 	list globs split 
xiecc see 	globs copy 
weather 	load refs notes 
modules domain 	notes combine 
weather api 	notes flags sha 
xiecc 	sha mode 
see weather 	root refs flags 
modules 	item counter 
listener hiding 	trees opt display 
scroll listener 	env load 
xiecc 	config refs item 
see weather 	sha note 
modules activity 	sha combine 
xiecc 	notes sha sha 
see weather 	found flags 
modules setting 	data result root 
setting 	data ret 
activity calendar 	flags sha output 
observable observer 	encoding raw 
android 	utf sha msg 
schedulers android 	msg linelen 
schedulers 	msglen reencoded sha 
functions action 	output encoding 
functions func 	raw obj obj 
schedulers 	force combine 
schedulers android 	notes note existing 
annotation suppress 	note ptr 
lint 	type clr ptr 
android content 	type subtree 
dialog android 	sha prefixcmp load 
content 	subtree free 
intent android 	note search 
net uri 	nibble ptr type 
android 	clr ptr 
build android 	type note search 
bundle 	clr ptr 
android handler 	type subtree sha 
android message 	prefixcmp load 
android 	subtree free note 
support design 	search note 
widget collapsing 	search ptr type 
toolbar 	clr ptr 
layout android 	type hashcmp clr 
support design 	ptr type 
widget 	ptr type free 
coordinator layout 	note search 
android support 	ptr type ptr 
design 	type clr 
widget floating 	ptr type hashcmp 
action 	hashcpy free 
button android 	ptr type 
support design 	nibble clr ptr 
widget 	type note 
navigation view 	consolidate nibble note 
android support 	search ptr 
design 	type clr ptr 
widget snackbar 	type ptr 
android support 	type sha free 
content 	ptr type 
context compat 	hashcmp hashcmp combine 
android support 	notes sha 
view 	note free subtree 
gravity compat 	sha prefixcmp 
android 	load subtree free 
support widget 	subtree sha 
drawer layout 	prefixcmp load subtree 
android 	free note 
support widget 	insert ptr 
swipe refresh 	type ptr type 
layout 	sha free 
android support 	xcalloc note insert 
app action 	ptr type 
bar 	ptr type note 
drawer toggle 	insert ptr 
android support 	type note free 
app 	clr ptr 
alert dialog 	type free clr 
android 	ptr type 
support widget 	hexval hexval strcmp 
linear layout 	xmalloc hashcpy 
manager 	non note cmp 
android support 	non note 
widget recycler 	cmp non note 
view 	cmp non 
android support 	note cmp strcmp 
widget toolbar 	hashcpy free 
android 	fill descriptor 
log android 	die sha hex 
view menu 	memcpy entry 
item 	strlen sha hex 
android view 	segment xcalloc 
view 	hashcpy hashcpy isdir 
android view 	note insert 
animation accelerate 	die sha hex 
interpolator 	sha hex 
android view 	strbuf addch strbuf 
animation decelerate 	addch strbuf 
interpolator 	addch strbuf addstr 
android widget 	non note 
image view 	strbuf detach free 
android 	ptr type 
widget progress 	sha hex xsnprintf 
bar android 	determine fanout 
widget 	ptr type note 
relative layout 	helper clr 
amap 	ptr type 
api location 	clr ptr type 
map location 	construct path 
amap 	fanout load subtree 
api location 	free clr 
map location 	ptr type construct 
client 	path fanout 
amap api 	strbuf addf strbuf 
location map 	xmalloc strbuf 
location 	init write stack 
client option 	finish subtree 
amap api 	write sha file 
location 	strbuf release 
map location 	free write entry 
listener 	strlen matches 
bumptech glide 	write stack write 
glide bumptech 	stack finish 
glide 	subtree write stack 
load engine 	init subtree 
disk cache 	memchr write 
strategy 	entry strcmp write 
xiecc see 	note helper 
weather xiecc 	strlen write non 
see 	note write 
weather activity 	note helper sha 
xiecc see 	file xmalloc 
weather 	sha read sha 
common check 	file free 
version 	sha read sha 
xiecc see 	file free 
weather common 	free hashcpy xmalloc 
log 	memcpy memcpy 
xiecc see 	free free write 
weather common 	sha file 
xiecc 	free hashcpy sha 
see weather 	read sha 
component retrofit 	file free 
singleton 	list split free 
xiecc see 	strbuf addstr 
weather modules 	strbuf addch list 
adatper 	note lines 
weather adapter 	list note lines 
xiecc 	list empty 
see weather 	items list sort 
modules domain 	list duplicates 
setting 	list write sha 
xiecc see 	file strbuf 
weather modules 	release list clear 
domain 	unsorted list 
weather xiecc 	list append glob 
see weather 	specials glob 
modules 	sha warning unsorted 
domain weather 	list list 
api xiecc 	append xstrdup list 
see 	split place 
weather modules 	list empty 
listener 	items list refs 
hiding scroll 	glob list 
listener xiecc 	clear free strcmp 
see 	config error 
weather modules 	nonbool list refs 
activity xiecc 	glob getenv 
see 	notes xcalloc xstrdup 
weather modules 	sha treeish 
setting setting 	read die entry 
activity 	die sha 
calendar observable 	hex hashclr hashcpy 
observer android 	load subtree 
schedulers 	alloc xcalloc init 
android schedulers 	notes list 
functions 	append notes getenv 
action functions 	list refs 
func schedulers 	colon sep git 
schedulers 	config list 
android annotation 	refs glob 
suppress lint 	load notes trees 
android 	list clear 
content dialog 	xmalloc hashcpy hashcpy 
android content 	note insert 
intent 	hashcpy hashclr note 
android net 	sha note 
uri android 	find note helper 
build 	strbuf init 
android bundle 	note write non 
android 	note write 
handler android 	stack finish subtree 
message android 	write sha 
support 	file strbuf release 
design widget 	note sha 
collapsing toolbar 	hex note note 
layout 	free free 
android support 	free free free 
design widget 	memset init 
coordinator 	notes note 
layout android 	read sha file 
support design 	free encoding 
widget 	utf reencode free 
floating action 	strlen strcmp 
button 	strbuf addstr starts 
android support 	starts strbuf 
design widget 	addf strchrnul strbuf 
navigation 	addstr strbuf 
view android 	strbuf addch free 
support design 	format note 
widget 	note note note 
snackbar android 	note starts 
support content 	starts strbuf insert 
context 	strbuf insert 
compat android 	sha expand notes 
support view 	use non 
gravity 	balancing simple structure 
compat android 	node nodes 
support 	leaf node 
widget drawer 	leaf nodes node 
layout android 	pointers children 
support 	bottom bits pointer 
widget swipe 	used identify 
refresh layout 	pointer type ptr 
android 	pointer ptr 
support app 	ptr pointer next 
action bar 	node cast 
drawer 	node ptr pointer 
toggle android 	note entry 
support app 	cast leaf node 
alert 	ptr pointer 
dialog android 	subtree entry cast 
support 	leaf node 
widget linear 	root node statically 
layout manager 	allocated node 
android 	leaf nodes 
support widget 	come two variants 
recycler view 	note entries 
android 	subtree entries distinguished 
support widget 	leaf node 
toolbar android 	pointer see note 
log 	entry key 
android view 	sha referenced sha 
menu item 	note subtree 
android 	entry key prefix 
view view 	sha trailing 
android 	referenced last key 
view animation 	store length 
accelerate interpolator 	prefix sha containing 
android 	notes subtree 
view animation 	notes may contain 
decelerate interpolator 	entries notes 
android 	follow naming conventions 
widget image 	notes typically 
view android 	none still 
widget 	need keep track 
progress bar 	keep simple 
android widget 	linked list sorted 
relative 	alpha betically 
layout amap 	non note path 
api 	list populated 
location map 	parsing objects load 
location amap 	subtree non 
api 	notes correctly written 
location map 	back objects 
